Date,sentiment_mean,sentiment_std,tweet_volume
2015-03-17,0.5294117647058824,0.5066403971048988,34
2015-03-18,0.23809523809523808,0.6555401351231357,42
2015-03-19,-0.029411764705882353,0.3881029321172459,34
2015-03-20,0.08695652173913043,0.5508009100501535,46
2015-03-21,,,0
2015-03-22,,,0
2015-03-23,0.41935483870967744,0.5641627157943646,31
2015-03-24,-0.06451612903225806,0.3592106040535498,31
2015-03-25,-0.24489795918367346,0.6931393632385541,49
2015-03-26,0.3157894736842105,0.4710691208760756,38
2015-03-27,-0.029411764705882353,0.3881029321172459,34
2015-03-28,,,0
2015-03-29,,,0
2015-03-30,0.7560975609756098,0.537609886668672,41
2015-03-31,-0.13513513513513514,0.5355247770054966,37
2015-04-01,0.0,0.3380617018914066,36
2015-04-02,0.16666666666666666,0.5920934999167599,30
2015-04-03,,,0
2015-04-04,,,0
2015-04-05,,,0
2015-04-06,0.5,0.6582805886043833,46
2015-04-07,-0.05405405405405406,0.3287979746107146,37
2015-04-08,-0.06451612903225806,0.3592106040535498,31
2015-04-09,0.2571428571428571,0.560611910581388,35
2015-04-10,0.0,0.5423261445466403,35
2015-04-11,,,0
2015-04-12,,,0
2015-04-13,0.08571428571428572,0.3734913631120909,35
2015-04-14,0.03333333333333333,0.319841914974746,30
2015-04-15,0.0,0.2721655269759086,28
2015-04-16,-0.037037037037037035,0.436901809201096,27
2015-04-17,-0.47058823529411764,0.5632854982907605,34
2015-04-18,,,0
2015-04-19,,,0
2015-04-20,0.6222222222222222,0.5755980640283038,45
2015-04-21,0.0,0.4472135954999579,31
2015-04-22,0.4146341463414634,0.6314906870294115,41
2015-04-23,0.32432432432432434,0.5298875171022438,37
2015-04-24,0.1,0.4025778999364489,30
2015-04-25,,,0
2015-04-26,,,0
2015-04-27,0.6857142857142857,0.5297851157852238,35
2015-04-28,-0.017543859649122806,0.5506887917539348,57
2015-04-29,-0.021739130434782608,0.5769317477361544,46
2015-04-30,-0.24528301886792453,0.7313228366712373,53
2015-05-01,0.5245901639344263,0.6734626289322267,61
2015-05-02,,,0
2015-05-03,,,0
2015-05-04,0.05405405405405406,0.22924343513512566,37
2015-05-05,-0.5,0.6717287489717273,42
2015-05-06,-0.2608695652173913,0.6122738170566664,46
2015-05-07,0.08333333333333333,0.3683941988065036,36
2015-05-08,0.59375,0.5599179087296002,32
2015-05-09,,,0
2015-05-10,,,0
2015-05-11,-0.3333333333333333,0.5345224838248487,36
2015-05-12,0.027777777777777776,0.29141145296750937,36
2015-05-13,0.0,0.2626128657194451,30
2015-05-14,0.8333333333333334,0.4472135954999579,36
2015-05-15,0.06896551724137931,0.3713906763541037,29
2015-05-16,,,0
2015-05-17,,,0
2015-05-18,0.28205128205128205,0.5595448314063639,39
2015-05-19,0.06896551724137931,0.4575583087556493,29
2015-05-20,0.03125,0.4003526671130294,32
2015-05-21,0.23529411764705882,0.6059714729465038,34
2015-05-22,0.41935483870967744,0.501610310127101,31
2015-05-23,,,0
2015-05-24,,,0
2015-05-25,,,0
2015-05-26,-0.24,0.6869037302955033,50
2015-05-27,0.6376811594202898,0.5680465622162454,69
2015-05-28,-0.05263157894736842,0.32444284226152503,38
2015-05-29,-0.0625,0.2459346884189824,32
2015-05-30,,,0
2015-05-31,,,0
2015-06-01,0.06,0.3136356914300021,50
2015-06-02,0.06666666666666667,0.2537081317024624,30
2015-06-03,-0.037037037037037035,0.19245008972987526,27
2015-06-04,0.0,0.254000254000381,32
2015-06-05,-0.13333333333333333,0.3457459036417604,30
2015-06-06,,,0
2015-06-07,,,0
2015-06-08,-0.02631578947368421,0.43414047454233795,38
2015-06-09,0.10256410256410256,0.44691173006191787,39
2015-06-10,0.1875,0.6927039119836262,32
2015-06-11,-0.09090909090909091,0.5222329678670935,33
2015-06-12,-0.5666666666666667,0.5683207771559354,30
2015-06-13,,,0
2015-06-14,,,0
2015-06-15,-0.03571428571428571,0.2672612419124244,56
2015-06-16,0.0,0.4472135954999579,31
2015-06-17,0.0,0.0,28
2015-06-18,-0.07142857142857142,0.3779644730092272,28
2015-06-19,-0.1875,0.5922891621605981,32
2015-06-20,,,0
2015-06-21,,,0
2015-06-22,0.2962962962962963,0.4653216269680752,27
2015-06-23,-0.08,0.4,25
2015-06-24,0.0975609756097561,0.49014681722829173,41
2015-06-25,0.030303030303030304,0.3046358979224712,33
2015-06-26,-0.22580645161290322,0.4973045625740722,31
2015-06-27,,,0
2015-06-28,,,0
2015-06-29,-0.3333333333333333,0.7171371656006361,36
2015-06-30,-0.06666666666666667,0.2537081317024624,30
2015-07-01,0.037037037037037035,0.33757978902788893,27
2015-07-02,-0.037037037037037035,0.19245008972987526,27
2015-07-03,,,0
2015-07-04,,,0
2015-07-05,,,0
2015-07-06,0.06451612903225806,0.24973103811470745,31
2015-07-07,0.07894736842105263,0.4866642633922876,38
2015-07-08,-0.7105263157894737,0.5651067699567265,38
2015-07-09,-0.47540983606557374,0.697771628759467,61
2015-07-10,0.11627906976744186,0.6972497784862424,43
2015-07-11,,,0
2015-07-12,,,0
2015-07-13,0.125,0.6090712125322324,32
2015-07-14,0.0,0.3713906763541038,30
2015-07-15,0.0,0.254000254000381,32
2015-07-16,0.43333333333333335,0.6789105539243628,30
2015-07-17,0.5666666666666667,0.5040069329937308,30
2015-07-18,,,0
2015-07-19,,,0
2015-07-20,0.6052631578947368,0.6383879056384401,38
2015-07-21,-0.05128205128205128,0.455880752454893,39
2015-07-22,-0.5769230769230769,0.7500628430182509,52
2015-07-23,-0.16666666666666666,0.4472135954999579,36
