Date,Close,High,Low,Open,Volume,log_ret,candle_ratio,volatility_10,volatility_20,volatility_63,ATR_14,RSI_14,CCI_20,OBV,VWAP,EMA_12,EMA_26,MACD_line
2015-04-06,28.40353012084961,28.439216566790897,27.72996461913009,27.761189408517016,148776000,0.01606857316867316,0.9056594267398294,0.24376040692659875,0.23129031355379628,0.27220183863151093,0.5519791515154621,55.363511704891046,46.04762410506301,3827308000.0,28.190903768923533,27.999118201364027,27.92519796754795,0.0739202338160787
2015-04-07,28.104663848876957,28.575266518887044,28.097973065655605,28.46821058409864,140049200,-0.010577901635164366,-0.7616838922896317,0.24426928679040766,0.23390008386900457,0.26616762986801906,0.5466444587808891,51.83977073102658,63.77964688037034,3687258800.0,28.259301144473202,28.01535599328909,27.938491736535283,0.07686425675380804
2015-04-08,28.01322555541992,28.19165442648821,27.87271396804973,28.068984364925782,149316800,-0.003258795915122459,-0.1748251375158144,0.24400313638984722,0.221489463817327,0.2663890181395142,0.5303798873278598,50.77497583339009,10.36202160783145,3537942000.0,28.02586464998595,28.01502823361691,27.944027574971184,0.07100065864572613
2015-04-09,28.227331161499023,28.23179281790146,27.80356569092795,28.06897639167934,129936000,0.007613958784460362,0.36979154249020785,0.19982929864328194,0.21115545478447298,0.26560765505485495,0.5230832615882635,53.19903017880846,18.478179041609074,3667878000.0,28.08756322344281,28.04769022252185,27.965013025825098,0.08267719669675344
2015-04-10,28.3477783203125,28.37231233254524,27.937394300462724,28.09128745709448,160752000,0.004257962269791804,0.5897452951993419,0.19862347607406255,0.20266835639497985,0.2558959188321343,0.5167857451949956,54.55483539199302,44.870597659203405,3828630000.0,28.21916165110682,28.09385762218195,27.993366010601942,0.10049161158000786
2015-04-13,28.29201889038086,28.675641464002823,28.23849091105807,28.631031694923568,145460400,-0.001968914109540698,-0.7755058349098142,0.19208617438525424,0.20083075132509054,0.2560171253392639,0.5110975171771213,53.778133047019,83.9501244839795,3683169600.0,28.402050421813914,28.12434397113563,28.01548844614112,0.10885552499451023
2015-04-14,28.169353485107425,28.390157911870556,28.08236987148485,28.325477483500755,102098400,-0.004345115717396819,-0.5072451749511852,0.1491523984378599,0.19841314537870527,0.2504452092930575,0.49657541169202013,52.02340977157357,29.677079791892613,3581071200.0,28.213960422820943,28.131268511746676,28.02688585643492,0.10438265531175617
2015-04-15,28.27639961242676,28.354461584451357,28.10466327397265,28.19387768555363,115881600,0.0037928896250143396,0.33035422343325066,0.1223435944772842,0.1896910021675607,0.2501180691253973,0.47894847589106915,53.45081901624928,38.535043765423396,3696952800.0,28.24517482361692,28.153596373389767,28.04536835687876,0.10822801651100633
2015-04-16,28.14035415649414,28.34777698547961,28.12697258740596,28.16488816757163,113476000,-0.004822883648837539,-0.11111196738619734,0.12602527497238494,0.1855150182982191,0.2502258054044975,0.4605096131898249,51.359419531236824,34.33987332455738,3583476800.0,28.205034576459905,28.151559109251977,28.052404342035455,0.09915476721652183
2015-04-17,27.823640823364254,28.1336596110378,27.75896041204498,28.00206966159836,207828000,-0.011318588475578206,-0.4761922062115869,0.13420490479438393,0.18776110306620108,0.24441926967086872,0.4548584797083488,46.771354455353446,-47.86151517182744,3375648800.0,27.905420282149013,28.101110142192326,28.03545889620796,0.06565124598436611
2015-04-20,28.45929336547852,28.575270929671763,27.91731771978738,28.00653214696416,188217200,0.022588714661853082,0.6881358912952454,0.1584796671283957,0.20025631012319509,0.24674665640176327,0.4760564530368603,55.385689725453844,78.35403148096047,3563866000.0,28.317294004979225,28.156215253467124,28.066854042079854,0.0893612113872706
2015-04-21,28.305397033691406,28.5931109339447,28.25186736244214,28.57080945669272,129740400,-0.005422268940905806,-0.7777799940161645,0.1505822193451303,0.19795698467553394,0.24303838138578265,0.46642696149869595,53.143265603076514,98.1904565702692,3434125600.0,28.383458443359416,28.17916629657855,28.08452389331034,0.09464240326821027
2015-04-22,28.686792373657227,28.742551185394703,28.173812326646782,28.32324553371349,150618000,0.01338432643202081,0.6392157566727305,0.16110457544088538,0.2029593701428946,0.2438036769144574,0.47373495415935485,57.712695212995435,136.34322667642869,3584743600.0,28.5343852952329,28.257262616129115,28.129136373336035,0.12812624279307983
2015-04-23,28.920974731445312,29.088251135817,28.57973113878685,28.6154175884988,183083600,0.008130280326343886,0.6008753731043465,0.16159471644708062,0.17687621128946138,0.2395421547666894,0.4762196000786973,60.27437137684125,201.57780978569744,3767827200.0,28.862985668683052,28.359372172331607,28.187791066529314,0.1715811058022929
