Date,Close,High,Low,Open,Volume,log_ret,candle_ratio,volatility_10,volatility_20,volatility_63,ATR_14,RSI_14,CCI_20,OBV,VWAP,EMA_12,EMA_26,MACD_line,sentiment_mean,sentiment_std,tweet_volume
2015-04-06,28.40353012084961,28.439216566790897,27.72996461913009,27.761189408517016,148776000,0.0160685731686731,0.9056594267398294,0.2437604069265987,0.2312903135537962,0.2722018386315109,0.5519791515154621,55.363511704891046,46.04762410506301,3827308000.0,28.190903768923533,27.999118201364027,27.92519796754795,0.0739202338160787,0.5,0.6582805886043833,46
2015-04-07,28.10466384887696,28.575266518887044,28.097973065655605,28.46821058409864,140049200,-0.0105779016351643,-0.7616838922896317,0.2442692867904076,0.2339000838690045,0.266167629868019,0.5466444587808891,51.83977073102658,63.77964688037034,3687258800.0,28.2593011444732,28.01535599328909,27.938491736535283,0.076864256753808,-0.054054054054054,0.3287979746107146,37
2015-04-08,28.01322555541992,28.19165442648821,27.87271396804973,28.068984364925782,149316800,-0.0032587959151224,-0.1748251375158144,0.2440031363898472,0.221489463817327,0.2663890181395142,0.5303798873278598,50.77497583339009,10.36202160783145,3537942000.0,28.02586464998595,28.01502823361691,27.944027574971184,0.0710006586457261,-0.064516129032258,0.3592106040535498,31
2015-04-09,28.227331161499023,28.23179281790146,27.80356569092795,28.06897639167934,129936000,0.0076139587844603,0.3697915424902078,0.1998292986432819,0.2111554547844729,0.2656076550548549,0.5230832615882635,53.19903017880846,18.478179041609074,3667878000.0,28.08756322344281,28.04769022252185,27.965013025825098,0.0826771966967534,0.2571428571428571,0.560611910581388,35
2015-04-10,28.3477783203125,28.37231233254524,27.937394300462724,28.09128745709448,160752000,0.0042579622697918,0.5897452951993419,0.1986234760740625,0.2026683563949798,0.2558959188321343,0.5167857451949956,54.55483539199302,44.870597659203405,3828630000.0,28.21916165110682,28.09385762218195,27.993366010601942,0.1004916115800078,0.0,0.5423261445466403,35
2015-04-13,28.29201889038086,28.675641464002823,28.23849091105807,28.631031694923568,145460400,-0.0019689141095406,-0.7755058349098142,0.1920861743852542,0.2008307513250905,0.2560171253392639,0.5110975171771213,53.778133047019,83.9501244839795,3683169600.0,28.402050421813914,28.12434397113563,28.01548844614112,0.1088555249945102,0.0857142857142857,0.3734913631120909,35
2015-04-14,28.169353485107425,28.39015791187056,28.08236987148485,28.325477483500755,102098400,-0.0043451157173968,-0.5072451749511852,0.1491523984378599,0.1984131453787052,0.2504452092930575,0.4965754116920201,52.02340977157357,29.677079791892613,3581071200.0,28.213960422820943,28.13126851174668,28.02688585643492,0.1043826553117561,0.0333333333333333,0.319841914974746,30
2015-04-15,28.27639961242676,28.35446158445136,28.10466327397265,28.19387768555363,115881600,0.0037928896250143,0.3303542234332506,0.1223435944772842,0.1896910021675607,0.2501180691253973,0.4789484758910691,53.45081901624928,38.5350437654234,3696952800.0,28.24517482361692,28.153596373389767,28.04536835687876,0.1082280165110063,0.0,0.2721655269759086,28
2015-04-16,28.14035415649414,28.34777698547961,28.12697258740596,28.16488816757163,113476000,-0.0048228836488375,-0.1111119673861973,0.1260252749723849,0.1855150182982191,0.2502258054044975,0.4605096131898249,51.35941953123682,34.33987332455738,3583476800.0,28.205034576459905,28.151559109251977,28.05240434203545,0.0991547672165218,-0.037037037037037,0.436901809201096,27
2015-04-17,27.82364082336425,28.1336596110378,27.75896041204498,28.00206966159836,207828000,-0.0113185884755782,-0.4761922062115869,0.1342049047943839,0.187761103066201,0.2444192696708687,0.4548584797083488,46.771354455353446,-47.86151517182744,3375648800.0,27.905420282149013,28.10111014219233,28.03545889620796,0.0656512459843661,-0.4705882352941176,0.5632854982907605,34
2015-04-20,28.45929336547852,28.575270929671763,27.91731771978738,28.00653214696416,188217200,0.022588714661853,0.6881358912952454,0.1584796671283957,0.200256310123195,0.2467466564017632,0.4760564530368603,55.38568972545384,78.35403148096047,3563866000.0,28.317294004979225,28.156215253467124,28.066854042079854,0.0893612113872706,0.6222222222222222,0.5755980640283038,45
2015-04-21,28.305397033691406,28.5931109339447,28.25186736244214,28.57080945669272,129740400,-0.0054222689409058,-0.7777799940161645,0.1505822193451303,0.1979569846755339,0.2430383813857826,0.4664269614986959,53.143265603076514,98.1904565702692,3434125600.0,28.383458443359416,28.17916629657855,28.08452389331034,0.0946424032682102,0.0,0.4472135954999579,31
2015-04-22,28.686792373657227,28.742551185394703,28.173812326646782,28.32324553371349,150618000,0.0133843264320208,0.6392157566727305,0.1611045754408853,0.2029593701428946,0.2438036769144574,0.4737349541593548,57.71269521299544,136.34322667642869,3584743600.0,28.5343852952329,28.257262616129115,28.129136373336035,0.1281262427930798,0.4146341463414634,0.6314906870294115,41
